Index,PDSI,Acres,LargeFire=1
273,0.85,140.1,1
274,-0.25,461.6,1
275,-0.25,135.2,1
276,-0.25,346.4,1
277,-0.25,826.3,1
278,-0.25,2844.9,1
279,-1.86,104.8,1
280,-1.43,228.7,1
281,-1.43,231.4,1
282,-1.43,138.4,1
283,-1.83,301.4,1
284,-1.43,193.4,1
285,-1.43,104.6,1
286,-1.43,1001.8,1
287,-1.86,12637.5,1
288,-1.83,3345.5,1
289,-1.43,108.1,1
290,-1.83,124.4,1
291,-1.43,194.3,1
292,-1.86,300.8,1
293,-1.86,141.3,1
294,-1.83,32845.7,1
295,-1.43,454.4,1
296,-1.43,1625.5,1
297,-1.83,391.8,1
298,-1.83,1134.6,1
299,-1.72,693.5,1
300,-3.41,1281.3,1
301,-1.72,2370.9,1
302,-1.72,1034.5,1
303,-3.41,1185.7,1
304,-1.72,465.3,1
305,-3.41,658.4,1
306,-1.72,622.7,1
307,-3.41,641.4,1
308,-3.41,2448,1
309,0.77,48865.3,1
310,-0.5,800,1
311,0.77,191.3,1
312,-0.5,146,1
313,0.77,1154,1
314,-0.5,579.9,1
315,0.77,249.2,1
316,-0.5,116,1
317,-0.5,109.9,1
318,-0.5,6341.7,1
319,0.77,1228.5,1
320,-0.5,252.9,1
321,-0.5,121.5,1
322,-0.5,226.8,1
323,-0.5,3561.9,1
324,0.77,116.5,1
325,-0.5,308.5,1
326,-0.5,2248.4,1
327,-0.5,201.2,1
328,-0.5,184.6,1
329,-0.5,1012.3,1
330,-1.96,637.6,1
331,-1.58,652.5,1
332,-1.58,906.3,1
333,-1.58,346.9,1
334,-1.58,418,1
335,-1.58,46802.2,1
336,-2.19,8617.4,1
337,-1.96,2778,1
338,-1.58,261.8,1
339,-1.58,111.3,1
340,-1.58,100.6,1
341,-1.58,197.5,1
342,-1.58,167.2,1
343,-2.19,105.3,1
344,-1.96,253.6,1
345,-1.58,350.1,1
346,-1.58,2570.3,1
347,-1.78,330,1
348,-3.25,711.8,1
349,-1.78,140.9,1
350,-1.78,286.6,1
351,-1.78,176.1,1
352,-3.25,312.7,1
353,-1.78,2100.1,1
354,0.91,286.7,1
355,0.24,727.2,1
356,0.24,800,1
357,0.24,298.6,1
358,0.24,1354.9,1
359,0.24,600.1,1
360,0.91,135.1,1
361,0.24,113.1,1
362,-1.67,138.8,1
363,-1.67,415.9,1
364,-1.67,208.6,1
365,-1.67,46554.3,1
366,-1.67,265.8,1
367,-1.67,1563.9,1
368,-1.67,968.7,1
369,-2.11,1025.7,1
370,-2.15,7025.2,1
371,-1.61,4202.1,1
372,-1.61,108.7,1
373,-3.08,427.7,1
374,-1.61,144.4,1
375,-1.61,135.2,1
376,-1.61,1021.3,1
377,0.38,150.4,1
378,0.38,121.3,1
379,-2.66,580.1,1
380,-2,107.6,1
381,-2,229.6,1
382,-2,106,1
383,-1.53,183.2,1
384,-1.93,250,1
385,1.8,160.5,1
386,4.03,180,1
387,4.03,100.1,1
388,4.03,136,1
389,4.03,507.4,1
390,4.89,1403,1
391,4.89,166.6,1
392,4.7,124.1,1
393,4.89,209.9,1
394,4.89,1835.2,1
395,4.61,397.5,1
396,5.04,7102.2,1
397,4.61,146.1,1
398,4.61,151,1
399,5.04,165,1
400,4.61,492.8,1
401,4.61,700.8,1
402,5.04,3366.4,1
403,5.56,1874,1
404,5.04,860.5,1
405,5.12,251.9,1
406,5.56,9575.2,1
407,5.56,485,1
408,5.56,119.9,1
409,5.04,200.5,1
410,5.56,203,1
411,5.56,490,1
412,5.56,255.1,1
413,5.04,5550.4,1
414,5.56,102,1
415,5.91,122.8,1
416,5.91,923.8,1
417,5.91,166.9,1
418,5.62,367,1
419,4.81,774.8,1
420,4.81,388.1,1
421,4.81,154.7,1
422,4.7,1650,1
423,4.81,5571.2,1
424,4.81,5669.7,1
425,4.7,233.4,1
426,4.7,1335,1
427,4.81,2912.6,1
428,4.81,4164.2,1
429,4.7,5604.8,1
430,4.81,233.2,1
431,4.81,176.4,1
432,4.81,339.7,1
433,4.7,1511.4,1
434,4.7,1308.5,1
435,6.36,215,1
436,6.36,496.1,1
437,6.36,2625,1
438,4.7,160.7,1
439,4.7,415.1,1
440,6.36,2510,1
441,6.36,2068,1
442,4.7,170,1
443,6.36,198.4,1
444,6.36,102.6,1
445,6.36,730.2,1
446,5.3,103.5,1
447,5.3,1192.1,1
448,6.36,321.5,1
449,6.36,117.4,1
450,5.3,127.3,1
451,6.36,108.6,1
452,6.36,135.3,1
453,5.3,207.6,1
454,5.3,562,1
455,6.36,272.8,1
456,6.36,620.8,1
457,6.36,488,1
458,6.36,3251.4,1
459,6.36,873.6,1
460,6.51,175.7,1
461,6.51,163.5,1
462,6.08,253.9,1
463,4.42,9508.1,1
464,4.42,307.9,1
465,4.42,9834.4,1
466,4.42,142,1
467,4.42,473.1,1
468,4.42,655.1,1
469,-0.48,24136.9,1
470,4.42,460.8,1
471,-0.48,1049.9,1
472,6.23,101.2,1
473,4.94,207.5,1
474,6.23,294.1,1
475,6.23,10282.1,1
476,-0.48,401,1
477,6.23,241.6,1
478,6.23,193.5,1
479,6.23,474.4,1
480,6.23,213.9,1
481,6.23,705,1
482,6.23,153.2,1
483,4.94,102.7,1
484,4.94,423.7,1
485,6.23,209.9,1
486,6.23,229.2,1
487,6.23,645.2,1
488,6.29,176.2,1
489,6.23,453.9,1
490,6.29,158.3,1
491,6.29,625.5,1
492,6.29,294.8,1
493,6.29,225.8,1
494,6.29,101.1,1
495,6.29,102.2,1
496,4.75,2095,1
497,-0.83,582.1,1
498,-0.22,647.7,1
499,-0.22,3757,1
500,-0.22,100.3,1
501,-0.83,153.9,1
502,5.29,115,1
503,5.29,400.8,1
504,5.29,1183.7,1
505,5.29,181,1
506,5.29,512.8,1
507,5.29,150.9,1
508,5.29,790.9,1
509,5.29,282.3,1
510,5.29,659.8,1
511,5.29,200.6,1
512,5.29,378.1,1
513,5.29,155.8,1
514,3.94,102.3,1
515,5.29,165.6,1
516,3.94,167.4,1
517,4.85,170.4,1
518,3.94,150.3,1
519,5.29,146.5,1
520,4.85,650,1
521,5.29,1344,1
522,4.85,346,1
523,-0.76,408.3,1
524,-1.25,3127.4,1
525,-1.25,200,1
526,-0.76,253.7,1
527,-0.76,2712.3,1
528,-0.76,1372.3,1
529,-1.25,181.8,1
530,-0.76,2905.9,1
531,-1.25,800,1
532,4.03,130.2,1
533,4.03,103.3,1
534,4.03,404.5,1
535,3.08,1813.1,1
536,4.03,473.2,1
537,4.03,165,1
538,2.64,12354.1,1
539,4.03,254.7,1
540,4.03,502.1,1
541,2.64,739.1,1
542,2.64,2547,1
543,3.95,120.4,1
544,2.64,168.6,1
545,3.95,173.5,1
546,3.95,158.4,1
547,2.64,223.2,1
548,3.95,100.5,1
549,2.64,181,1
550,-1.52,510.5,1
551,-1.52,117,1
552,-1.52,1212.7,1
553,2.53,1602,1
554,2.53,125.6,1
555,2.21,145.3,1
556,1.7,119.6,1
